contractSymbol,lastTradeDate,strike,lastPrice,call_bid,call_ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expiration,ticker,S0,call_mid,bid_ask_spread,spread_percent,current_date,moneyness,K,S0,T,r,q
AAPL260211C00292500,2026-02-06 20:54:17+00:00,292.5,0.12,0.11,0.13,-0.04,-25.0,435.0,440,0.245124736328125,False,REGULAR,USD,call,2026-02-11,AAPL,278.12,0.12,0.020000000000000004,16.66666666666667,2026-02-07 14:19:51.339989,OTM,292.5,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00295000,2026-02-06 20:22:22+00:00,295.0,0.07,0.06,0.08,-0.059999995,-46.153843,267.0,751,0.25586681640625003,False,REGULAR,USD,call,2026-02-11,AAPL,278.12,0.07,0.020000000000000004,28.571428571428577,2026-02-07 14:19:51.339989,OTM,295.0,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00300000,2026-02-06 20:59:26+00:00,300.0,0.03,0.03,0.04,-0.01,-25.0,726.0,1713,0.28711650390624993,False,REGULAR,USD,call,2026-02-11,AAPL,278.12,0.035,0.010000000000000002,28.571428571428577,2026-02-07 14:19:51.339989,OTM,300.0,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00305000,2026-02-06 20:53:19+00:00,305.0,0.01,0.0,0.03,0.0,0.0,124.0,134,0.32813171874999997,False,REGULAR,USD,call,2026-02-11,AAPL,278.12,0.015,0.03,200.0,2026-02-07 14:19:51.339989,OTM,305.0,278.12,0.00821917808219178,0.045,0.37
AAPL260211C00310000,2026-02-06 17:12:21+00:00,310.0,0.01,0.0,0.01,-0.01,-50.0,68.0,16,0.335944140625,False,REGULAR,USD,call,2026-02-11,AAPL,278.12,0.005,0.01,200.0,2026-02-07 14:19:51.339989,OTM,310.0,278.12,0.00821917808219178,0.045,0.37
AAPL260213C00140000,2026-02-04 15:02:55+00:00,140.0,136.17,136.5,140.0,0.0,0.0,1.0,1,2.0273486816406248,True,REGULAR,USD,call,2026-02-13,AAPL,278.12,138.25,3.5,2.5316455696202533,2026-02-07 14:19:51.468881,ITM,140.0,278.12,0.0136986301369863,0.045,0.37
AAPL260213C00150000,2026-01-30 20:30:54+00:00,150.0,110.0,126.6,130.05,0.0,0.0,2.0,0,1.9453127734375002,True,REGULAR,USD,call,2026-02-13,AAPL,278.12,128.325,3.450000000000017,2.688486265341919,2026-02-07 14:19:51.468881,ITM,150.0,278.12,0.0136986301369863,0.045,0.37
AAPL260213C00160000,2026-02-03 17:17:22+00:00,160.0,109.18,116.5,120.05,0.0,0.0,4.0,4,1.6972671386718752,True,REGULAR,USD,call,2026-02-13,AAPL,278.12,118.275,3.549999999999997,3.001479602621008,2026-02-07 14:19:51.468881,ITM,160.0,278.12,0.0136986301369863,0.045,0.37
AAPL260213C00185000,2026-02-06 15:42:00+00:00,185.0,94.32,91.5,95.05,20.169998,27.201616,1.0,6,1.2890660546875,True,REGULAR,USD,call,2026-02-13,AAPL,278.12,93.275,3.549999999999997,3.805950147413559,2026-02-07 14:19:51.468881,ITM,185.0,278.12,0.0136986301369863,0.045,0.37
AAPL260213C00190000,2026-01-30 19:00:02+00:00,190.0,67.58,86.8,90.05,0.0,0.0,2.0,9,1.334964262695312,True,REGULAR,USD,call,2026-02-13,AAPL,278.12,88.425,3.25,3.6754311563471873,2026-02-07 14:19:51.468881,ITM,190.0,278.12,0.0136986301369863,0.045,0.37
AAPL260213C00200000,2026-02-06 20:42:54+00:00,200.0,77.35,77.75,79.1,0.0,0.0,225.0,51,1.1757853710937498,True,REGULAR,USD,call,2026-02-13,AAPL,278.12,78.425,1.3499999999999943,1.7213898629263555,2026-02-07 14:19:51.468881,ITM,200.0,278.12,0.0136986301369863,0.045,0.37
AAPL260213C00205000,2026-02-05 19:30:36+00:00,205.0,72.0,71.95,75.05,0.0,0.0,1.0,6,1.138676181640625,True,REGULAR,USD,call,2026-02-13,AAPL,278.12,73.5,3.0999999999999943,4.217687074829924,2026-02-07 14:19:51.468881,ITM,205.0,278.12,0.0136986301369863,0.045,0.37
AAPL260213C00210000,2026-02-06 18:59:04+00:00,210.0,66.65,67.55,69.1,0.15000153,0.22556621,40.0,38,0.96289099609375,True,REGULAR,USD,call,2026-02-13,AAPL,278.12,68.32499999999999,1.5499999999999972,2.268569337724109,2026-02-07 14:19:51.468881,ITM,210.0,278.12,0.0136986301369863,0.045,0.37
AAPL260213C00215000,2026-02-06 19:04:59+00:00,215.0,62.36,62.5,64.2,2.6800003,4.4906173,47.0,46,0.9082040429687499,True,REGULAR,USD,call,2026-02-13,AAPL,278.12,63.35,1.7000000000000028,2.683504340962909,2026-02-07 14:19:51.468881,ITM,215.0,278.12,0.0136986301369863,0.045,0.37
AAPL260213C00220000,2026-02-06 16:15:53+00:00,220.0,59.07,57.05,59.1,1.7799988,3.1069973,43.0,220,1.0932662524414063,True,REGULAR,USD,call,2026-02-13,AAPL,278.12,58.075,2.0500000000000043,3.5299182092122328,2026-02-07 14:19:51.468881,ITM,220.0,278.12,0.0136986301369863,0.045,0.37
AAPL260213C00225000,2026-02-06 19:55:50+00:00,225.0,53.6,51.6,55.05,2.0499992,3.97672,41.0,100,0.7539087109375,True,REGULAR,USD,call,2026-02-13,AAPL,278.12,53.325,3.4499999999999957,6.469760900140639,2026-02-07 14:19:51.468881,ITM,225.0,278.12,0.0136986301369863,0.045,0.37
AAPL260213C00227500,2026-02-02 20:04:50+00:00,227.5,41.1,49.45,52.55,0.0,0.0,2.0,9,0.7983418603515625,True,REGULAR,USD,call,2026-02-13,AAPL,278.12,51.0,3.0999999999999943,6.078431372549009,2026-02-07 14:19:51.468881,ITM,227.5,278.12,0.0136986301369863,0.045,0.37
AAPL260213C00230000,2026-02-05 15:03:07+00:00,230.0,45.0,46.65,50.05,0.0,0.0,1.0,105,0.6992217578125001,True,REGULAR,USD,call,2026-02-13,AAPL,278.12,48.349999999999994,3.3999999999999986,7.032057911065149,2026-02-07 14:19:51.468881,ITM,230.0,278.12,0.0136986301369863,0.045,0.37
AAPL260213C00232500,2026-02-02 20:55:17+00:00,232.5,37.65,44.45,47.55,0.0,0.0,1.0,6,0.725588681640625,True,REGULAR,USD,call,2026-02-13,AAPL,278.12,46.0,3.0999999999999943,6.739130434782596,2026-02-07 14:19:51.468881,ITM,232.5,278.12,0.0136986301369863,0.045,0.37
AAPL260213C00235000,2026-02-06 20:58:55+00:00,235.0,43.45,41.95,44.95,1.8500023,4.447121,7.0,109,0.6718782812500002,True,REGULAR,USD,call,2026-02-13,AAPL,278.12,43.45,3.0,6.904487917146144,2026-02-07 14:19:51.468881,ITM,235.0,278.12,0.0136986301369863,0.045,0.37
AAPL260213C00237500,2026-02-06 19:00:16+00:00,237.5,39.65,40.05,42.0,3.2000008,8.779152,16.0,19,0.6611362011718751,True,REGULAR,USD,call,2026-02-13,AAPL,278.12,41.025,1.9500000000000028,4.753199268738581,2026-02-07 14:19:51.468881,ITM,237.5,278.12,0.0136986301369863,0.045,0.37
AAPL260213C00240000,2026-02-06 20:38:54+00:00,240.0,37.75,37.25,39.1,0.9700012,2.6373062,50.0,219,0.7573266455078126,True,REGULAR,USD,call,2026-02-13,AAPL,278.12,38.175,1.8500000000000014,4.846103470857895,2026-02-07 14:19:51.468881,ITM,240.0,278.12,0.0136986301369863,0.045,0.37
